"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://kzeso.com/wp-content/uploads/2017/02/kt_004.pdf","application/pdf","200","OK","Indexable","","КТ 004","6","63","","0","0","","0","","0","","0","","","","","","","","","","142821","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:15 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kt_004.pdf","2023-04-27 12:54:48"
"http://kzeso.com/wp-content/uploads/2017/02/ksh001.pdf","application/pdf","200","OK","Indexable","","КШ 001","6","70","","0","0","","0","","0","","0","","","","","","","","","","142343","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,087","Mon, 25 Sep 2017 08:53:15 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ksh001.pdf","2023-04-27 12:54:49"
"http://kzeso.com/wp-content/uploads/2017/02/a-820k.pdf","application/pdf","200","OK","Indexable","","А 820 К","7","69","","0","0","","0","","0","","0","","","","","","","","","","152347","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:06 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-820k.pdf","2023-04-27 12:54:50"
"http://kzeso.com/wp-content/uploads/2017/02/a-1406.pdf","application/pdf","200","OK","Indexable","","А-1406","6","63","","0","0","","0","","0","","0","","","","","","","","","","171030","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,088","Mon, 25 Sep 2017 08:53:06 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-1406.pdf","2023-04-27 12:54:50"
"http://kzeso.com/wp-content/uploads/2017/02/pdg516m.pdf","application/pdf","200","OK","Indexable","","ПДГ 516М","8","95","","0","0","","0","","0","","0","","","","","","","","","","301624","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:26 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/pdg516m.pdf","2023-04-27 12:54:50"
"http://kzeso.com/wp-content/uploads/2017/01/kig-601.pdf","application/pdf","200","OK","Indexable","","КИГ-601","7","77","","0","0","","0","","0","","0","","","","","","","","","","159133","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,092","Mon, 25 Sep 2017 08:53:02 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/kig-601.pdf","2023-04-27 12:54:51"
"http://kzeso.com/wp-content/uploads/2017/02/kt_009.pdf","application/pdf","200","OK","Indexable","","КТ 009","6","63","","0","0","","0","","0","","0","","","","","","","","","","160670","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,058","Mon, 25 Sep 2017 08:53:16 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kt_009.pdf","2023-04-27 12:54:52"
"http://kzeso.com/wp-content/uploads/2017/02/ks-011.pdf","application/pdf","200","OK","Indexable","","КС 011","6","64","","0","0","","0","","0","","0","","","","","","","","","","158117","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,089","Mon, 25 Sep 2017 08:53:13 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ks-011.pdf","2023-04-27 12:54:52"
"http://kzeso.com/wp-content/uploads/2017/02/k584m.pdf","application/pdf","200","OK","Indexable","","к584","4","44","","0","0","","0","","0","","0","","","","","","","","","","214159","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,048","Mon, 25 Sep 2017 08:53:09 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/k584m.pdf","2023-04-27 12:54:52"
"http://kzeso.com/wp-content/uploads/2017/02/k813.pdf","application/pdf","200","OK","Indexable","","Трубосварочная машина К 813","27","291","","0","0","","0","","0","","0","","","","","","","","","","194858","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,049","Mon, 25 Sep 2017 08:53:09 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/k813.pdf","2023-04-27 12:54:54"
"http://kzeso.com/wp-content/uploads/2017/02/kp019.pdf","application/pdf","200","OK","Indexable","","КП 019","6","65","","0","0","","0","","0","","0","","","","","","","","","","150903","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,100","Mon, 25 Sep 2017 08:53:13 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kp019.pdf","2023-04-27 12:54:55"
"http://kzeso.com/wp-content/uploads/2017/02/ad-231.pdf","application/pdf","200","OK","Indexable","","АД-231","6","67","","0","0","","0","","0","","0","","","","","","","","","","209165","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:08 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ad-231.pdf","2023-04-27 12:54:55"
"http://kzeso.com/wp-content/uploads/2017/02/ksh_003.pdf","application/pdf","200","OK","Indexable","","кш 003","6","65","","0","0","","0","","0","","0","","","","","","","","","","440616","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:14 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ksh_003.pdf","2023-04-27 12:54:55"
"http://kzeso.com/wp-content/uploads/2017/02/kt_007.pdf","application/pdf","200","OK","Indexable","","kt_007","6","59","","0","0","","0","","0","","0","","","","","","","","","","243419","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:16 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kt_007.pdf","2023-04-27 12:54:55"
"http://kzeso.com/wp-content/uploads/2017/01/vdm-6301.pdf","application/pdf","200","OK","Indexable","","ВДМ-6301К","9","107","","0","0","","0","","0","","0","","","","","","","","","","165574","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:04 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/vdm-6301.pdf","2023-04-27 12:54:56"
"http://kzeso.com/wp-content/uploads/2017/01/ki002-500.pdf","application/pdf","200","OK","Indexable","","КИ 002-500","10","104","","0","0","","0","","0","","0","","","","","","","","","","167694","0","","","","","0,000","4","","2","2","0","0,630","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:02 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/ki002-500.pdf","2023-04-27 12:54:56"
"http://kzeso.com/wp-content/uploads/2017/02/kt008_2post.pdf","application/pdf","200","OK","Indexable","","КТ 008 2 пост","13","127","","0","0","","0","","0","","0","","","","","","","","","","199390","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:17 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kt008_2post.pdf","2023-04-27 12:54:56"
"http://kzeso.com/wp-content/uploads/2017/02/a-1304.pdf","application/pdf","200","OK","Indexable","","А 1304","6","62","","0","0","","0","","0","","0","","","","","","","","","","173677","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:06 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-1304.pdf","2023-04-27 12:54:56"
"http://kzeso.com/wp-content/uploads/2017/02/a-550.pdf","application/pdf","200","OK","Indexable","","А 550","5","51","","0","0","","0","","0","","0","","","","","","","","","","153079","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,045","Mon, 25 Sep 2017 08:53:05 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-550.pdf","2023-04-27 12:54:56"
